Individual Components:,,,,
,,,,
Item,Qty,Reference(s),Value,Footprint
,,C1,0.1uF,Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm
,,C2,0.1uF,Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm
,,C3,0.1uF,Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm
,,C4,0.1uF,Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm
,,C5,0.1uF,Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm
,,C6,10uF,Capacitor_THT:CP_Radial_D5.0mm_P2.50mm
,,C7,0.1uF,Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm
,,C9,1000uF,Capacitor_THT:CP_Radial_D10.0mm_P5.00mm
,,C10,0.1uF,Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm
,,C12,0.1uF,Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm
,,C13,0.1uF,Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm
,,C14,0.1uF,Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm
,,C15,0.1uF,Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm
,,C16,0.1uF,Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm
,,C17,0.1uF,Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm
,,C18,1uF,Capacitor_THT:CP_Radial_D5.0mm_P2.50mm
,,C19,0.1uF,Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm
,,C20,0.1uF,Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm
,,C21,0.1uF,Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm
,,C22,1uF,Capacitor_THT:CP_Radial_D5.0mm_P2.50mm
,,C23,1uF,Capacitor_THT:CP_Radial_D5.0mm_P2.50mm
,,C24,0.1uF,Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm
,,C25,0.1uF,Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm
,,C26,0.1uF,Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm
,,C27,0.1uF,Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm
,,C28,0.1uF,Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm
,,C31,100uF,Capacitor_THT:CP_Radial_D5.0mm_P2.50mm
,,C32,100nf,Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm
,,C33,470pF,Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm
,,C34,470pF,Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm
,,C35,470pF,Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm
,,C36,470pF,Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm
,,C37,100nf,Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm
,,C38,100nf,Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm
,,C39,100nf,Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm
,,C40,100nF,Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm
,,D1,1N5819,Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal
,,D4,BLINK,LED_THT:LED_D3.0mm
,,D8,RED,LED_THT:LED_D3.0mm
,,D9,BLUE,LED_THT:LED_D3.0mm
,,D10,GREEN,LED_THT:LED_D3.0mm
,,D11,GREEN,LED_THT:LED_D3.0mm
,,D12,YELLOW,LED_THT:LED_D3.0mm
,,H1,MountingHole,MountingHole:MountingHole_3mm_Pad
,,H2,MountingHole,MountingHole:MountingHole_3mm_Pad
,,H3,MountingHole,MountingHole:MountingHole_3mm_Pad
,,H4,MountingHole,MountingHole:MountingHole_3mm_Pad
,,H5,MountingHole,MountingHole:MountingHole_3mm_Pad
,,H6,MountingHole,MountingHole:MountingHole_3mm_Pad
,,J1,CLK Jumper,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical
,,J2,Optional UART Port,Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical
,,J3,Conn_01x06_Female,Connector_PinSocket_2.54mm:PinSocket_2x02_P2.54mm_Vertical
,,J4,AudioJack4,Connector_Audio:Jack_3.5mm_PJ320E_Horizontal
,,J5,Barrel_Jack-Connector,Connector_BarrelJack:BarrelJack_Horizontal
,,J6,Mini-DIN-6,65C02_Computer:mini_din-6
,,J7,Expansion port,Connector_PinSocket_2.54mm:PinSocket_2x16_P2.54mm_Vertical
,,J8,AVR-ISP-10,Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical
,,J9,VIA2PB,Connector_PinSocket_2.54mm:PinSocket_1x12_P2.54mm_Vertical
,,J11,LCD Connector,Connector_PinSocket_2.54mm:PinSocket_1x16_P2.54mm_Vertical
,,J12,System Bus Output port,Connector_PinSocket_2.54mm:PinSocket_2x13_P2.54mm_Vertical
,,J14,ESP Interface,Connector_PinSocket_2.54mm:PinSocket_2x04_P2.54mm_Vertical
,,J15,Level_Shifter_HV,Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical
,,J16,Level_Shifter_LV,Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical
,,J18,CPU Signals,Connector_PinSocket_2.54mm:PinSocket_2x08_P2.54mm_Vertical
,,J20,Modem Interface,Connector_PinSocket_2.54mm:PinSocket_2x04_P2.54mm_Vertical
,,J21,Expansion port #2,Connector_PinSocket_2.54mm:PinSocket_2x16_P2.54mm_Vertical
,,J22,Expansion port #3,Connector_PinSocket_2.54mm:PinSocket_2x16_P2.54mm_Vertical
,,J27,LED SWITCH,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical
,,J29,Decoder Signals,Connector_PinHeader_2.54mm:PinHeader_2x09_P2.54mm_Vertical
,,J30,Standard Decoder Jumpers,Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical
,,J31,Memory Decoder Expansion,Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical
,,J32,Decoder Expansion,Connector_PinSocket_2.54mm:PinSocket_2x02_P2.54mm_Vertical
,,J33,VIA2PA,Connector_PinSocket_2.54mm:PinSocket_1x12_P2.54mm_Vertical
,,J34,Conn_01x04_Female,Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical
,,J35,Conn_01x03_Male,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical
,,J36,Conn_01x02_Female,Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical
,,JP1,EN_SIGNAL,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical
,,JP2,EN_DATA,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical
,,JP3,EN_ADDR,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical
,,JP4,T,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical
,,JP5,R,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical
,,JP6,R/S,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical
,,JP7,S,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical
,,JP8,RDY,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical
,,JP9,NMI,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical
,,JP10,RDY,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical
,,JP11,RDY,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical
,,JP12,VIA2_CS2,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical
,,JP13,VIA1_CS1,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical
,,JP14,A_CS0,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical
,,JP22,Clock LED,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical
,,Q1,BC547,Package_TO_SOT_THT:TO-92_Inline
,,R1,1M,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal
,,R2,47K,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal
,,R3,1k,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal
,,R4,4K7,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal
